,run_id,n_neighbors,n_components,min_cluster_size,min_samples,metric,cluster_selection_method,label_count,cost
749,749,20,12,15,1,manhattan,eom,2,0.0
926,926,20,5,10,3,manhattan,eom,2,0.0
681,681,20,5,10,3,euclidean,eom,2,0.0
921,921,20,5,10,5,manhattan,eom,2,0.0
1356,1356,20,5,10,5,euclidean,eom,2,0.0
704,704,20,12,10,3,manhattan,eom,2,0.0
1359,1359,20,12,10,5,euclidean,eom,2,0.0
715,715,20,5,8,3,manhattan,eom,2,0.0
1080,1080,20,12,15,1,manhattan,eom,2,0.0
734,734,20,12,10,5,euclidean,eom,2,0.0
739,739,20,5,15,5,manhattan,eom,2,0.0
1069,1069,20,5,15,1,euclidean,eom,2,0.0
1475,1475,20,12,15,1,manhattan,eom,2,0.0
1406,1406,20,5,8,3,euclidean,eom,2,0.0
136,136,20,12,10,1,manhattan,eom,2,0.0
904,904,20,12,15,5,manhattan,eom,2,0.0
128,128,20,5,10,5,euclidean,eom,2,0.0
108,108,20,5,15,1,euclidean,eom,2,0.0
1436,1436,20,5,8,5,manhattan,eom,2,0.0
1439,1439,20,5,8,1,manhattan,eom,2,0.0
1440,1440,20,12,15,5,euclidean,eom,2,0.0
852,852,20,5,15,5,manhattan,eom,2,0.0
1105,1105,20,5,8,5,euclidean,eom,2,0.0
872,872,20,5,15,1,euclidean,eom,2,0.0
661,661,20,12,15,5,manhattan,eom,2,0.0
1118,1118,20,12,15,5,euclidean,eom,2,0.0
461,461,20,5,15,3,manhattan,eom,2,0.0
1228,1228,20,5,8,5,manhattan,eom,2,0.0
432,432,20,12,10,5,manhattan,eom,2,0.0
1217,1217,20,5,10,3,euclidean,eom,2,0.0
411,411,20,5,15,5,euclidean,eom,2,0.0
1192,1192,20,5,15,5,euclidean,eom,2,0.0
398,398,20,5,8,5,manhattan,eom,2,0.0
530,530,20,5,10,5,euclidean,eom,2,0.0
367,367,20,5,10,5,euclidean,eom,2,0.0
647,647,20,12,15,3,manhattan,eom,2,0.0
561,561,20,5,8,5,manhattan,eom,2,0.0
584,584,20,5,10,5,manhattan,eom,2,0.0
592,592,20,5,8,5,manhattan,eom,2,0.0
1134,1134,20,12,15,3,manhattan,eom,2,0.0
599,599,20,5,8,3,euclidean,eom,2,0.0
315,315,20,12,15,5,manhattan,eom,2,0.0
1129,1129,20,5,10,3,euclidean,eom,2,0.0
288,288,20,5,8,5,euclidean,eom,2,0.0
283,283,20,5,8,3,manhattan,eom,2,0.0
631,631,20,5,15,1,euclidean,eom,2,0.0
575,575,20,5,10,1,manhattan,eom,2,0.0
1283,1283,15,8,15,3,euclidean,eom,3,0.0007666751852798365
179,179,15,8,15,3,euclidean,eom,3,0.0007666751852798365
890,890,15,8,15,3,euclidean,eom,3,0.0007666751852798365
1094,1094,15,8,15,3,euclidean,eom,3,0.0007666751852798365
518,518,20,5,15,1,manhattan,eom,4,0.0033222591362126247
1038,1038,15,5,5,3,sokalsneath,leaf,3,0.011755686174290826
550,550,15,5,10,3,sokalsneath,eom,3,0.011755686174290826
137,137,15,5,10,3,rogerstanimoto,eom,3,0.011755686174290826
535,535,15,5,15,3,sokalsneath,eom,3,0.011755686174290826
1052,1052,15,5,15,3,rogerstanimoto,eom,3,0.011755686174290826
342,342,15,5,8,3,rogerstanimoto,eom,3,0.011755686174290826
1441,1441,15,5,8,3,rogerstanimoto,leaf,3,0.011755686174290826
1196,1196,15,5,15,3,rogerstanimoto,eom,3,0.011755686174290826
1056,1056,15,5,10,3,sokalsneath,leaf,3,0.011755686174290826
1148,1148,15,5,15,3,rogerstanimoto,eom,3,0.011755686174290826
233,233,15,5,15,3,sokalsneath,eom,3,0.011755686174290826
234,234,15,5,10,3,sokalsneath,eom,3,0.011755686174290826
948,948,15,5,15,3,rogerstanimoto,eom,3,0.011755686174290826
1401,1401,15,5,15,3,sokalsneath,leaf,3,0.011755686174290826
1162,1162,15,5,5,3,sokalsneath,leaf,3,0.011755686174290826
1388,1388,15,5,8,3,rogerstanimoto,eom,3,0.011755686174290826
755,755,15,5,8,3,rogerstanimoto,leaf,3,0.011755686174290826
868,868,15,5,10,3,rogerstanimoto,leaf,3,0.011755686174290826
637,637,15,5,5,3,rogerstanimoto,leaf,3,0.011755686174290826
1075,1075,15,5,5,3,sokalsneath,eom,3,0.011755686174290826
120,120,15,5,10,3,sokalsneath,eom,3,0.011755686174290826
165,165,15,5,15,3,rogerstanimoto,leaf,3,0.011755686174290826
166,166,15,5,8,3,sokalsneath,leaf,3,0.011755686174290826
1068,1068,15,5,15,3,rogerstanimoto,leaf,3,0.011755686174290826
654,654,15,5,8,5,sokalsneath,leaf,3,0.014311270125223614
564,564,15,5,5,5,sokalsneath,leaf,3,0.014311270125223614
616,616,15,5,8,5,rogerstanimoto,eom,3,0.014311270125223614
350,350,15,5,5,5,sokalsneath,leaf,3,0.014311270125223614
279,279,15,5,15,5,sokalsneath,eom,3,0.014311270125223614
969,969,15,5,5,5,sokalsneath,leaf,3,0.014311270125223614
1304,1304,15,5,8,5,rogerstanimoto,leaf,3,0.014311270125223614
1492,1492,15,5,15,5,sokalsneath,leaf,3,0.014311270125223614
251,251,15,5,10,5,sokalsneath,leaf,3,0.014311270125223614
30,30,15,5,10,5,sokalsneath,leaf,3,0.014311270125223614
1341,1341,15,5,10,5,rogerstanimoto,eom,3,0.014311270125223614
115,115,15,5,5,5,sokalsneath,eom,3,0.014311270125223614
713,713,15,5,5,5,sokalsneath,eom,3,0.014311270125223614
1065,1065,15,5,15,5,sokalsneath,leaf,3,0.014311270125223614
1032,1032,15,5,10,5,sokalsneath,eom,3,0.014311270125223614
194,194,15,5,5,5,sokalsneath,leaf,3,0.014311270125223614
871,871,15,5,15,5,rogerstanimoto,leaf,3,0.014311270125223614
1014,1014,15,5,10,5,sokalsneath,eom,3,0.014311270125223614
69,69,15,5,10,5,rogerstanimoto,leaf,3,0.014311270125223614
1403,1403,15,5,10,5,sokalsneath,eom,3,0.014311270125223614
1086,1086,15,5,15,5,rogerstanimoto,eom,3,0.014311270125223614
775,775,15,5,10,5,rogerstanimoto,eom,3,0.014311270125223614
987,987,15,5,5,5,sokalsneath,leaf,3,0.014311270125223614
1259,1259,15,5,8,5,sokalsneath,leaf,3,0.014311270125223614
207,207,10,12,8,3,sokalsneath,eom,3,0.038589317659085104
253,253,10,12,15,3,sokalsneath,leaf,3,0.038589317659085104
906,906,10,12,15,3,rogerstanimoto,eom,3,0.038589317659085104
1402,1402,10,12,15,3,rogerstanimoto,eom,3,0.038589317659085104
737,737,10,12,5,3,sokalsneath,leaf,3,0.038589317659085104
1113,1113,10,12,5,3,sokalsneath,eom,3,0.038589317659085104
629,629,10,12,15,3,sokalsneath,eom,3,0.038589317659085104
219,219,10,12,8,3,sokalsneath,eom,3,0.038589317659085104
769,769,10,12,15,3,sokalsneath,eom,3,0.038589317659085104
184,184,10,12,5,3,sokalsneath,eom,3,0.038589317659085104
756,756,10,12,10,3,rogerstanimoto,leaf,3,0.038589317659085104
719,719,10,12,5,3,rogerstanimoto,leaf,3,0.038589317659085104
449,449,10,12,5,3,rogerstanimoto,leaf,3,0.038589317659085104
174,174,10,12,10,3,sokalsneath,eom,3,0.038589317659085104
427,427,10,12,15,3,sokalsneath,eom,3,0.038589317659085104
362,362,10,12,10,3,sokalsneath,eom,3,0.038589317659085104
106,106,10,12,8,3,sokalsneath,leaf,3,0.038589317659085104
603,603,10,12,10,3,sokalsneath,leaf,3,0.038589317659085104
1466,1466,10,12,10,3,rogerstanimoto,eom,3,0.038589317659085104
1219,1219,10,12,8,3,rogerstanimoto,leaf,3,0.038589317659085104
617,617,10,12,8,3,sokalsneath,eom,3,0.038589317659085104
1293,1293,10,12,5,3,rogerstanimoto,leaf,3,0.038589317659085104
841,841,10,12,10,3,rogerstanimoto,leaf,3,0.038589317659085104
583,583,10,12,10,3,rogerstanimoto,eom,3,0.038589317659085104
1036,1036,10,12,8,3,sokalsneath,leaf,3,0.038589317659085104
433,433,10,12,10,3,sokalsneath,leaf,3,0.038589317659085104
462,462,10,12,8,3,rogerstanimoto,leaf,3,0.038589317659085104
1198,1198,10,12,15,3,sokalsneath,leaf,3,0.038589317659085104
1130,1130,10,8,8,5,rogerstanimoto,eom,3,0.03935599284436494
60,60,10,8,15,5,rogerstanimoto,eom,3,0.03935599284436494
850,850,10,8,10,5,sokalsneath,leaf,3,0.03935599284436494
