,run_id,n_neighbors,n_components,min_cluster_size,min_samples,metric,cluster_selection_method,label_count,cost
966,966,10,8,5,5,sokalsneath,leaf,3,0.022489138768208537
1732,1732,10,8,10,5,rogerstanimoto,leaf,3,0.022489138768208537
1946,1946,10,8,5,5,rogerstanimoto,leaf,3,0.022489138768208537
1524,1524,10,8,10,5,sokalsneath,leaf,3,0.022489138768208537
1525,1525,10,8,5,5,rogerstanimoto,leaf,3,0.022489138768208537
1533,1533,10,8,10,5,rogerstanimoto,eom,3,0.022489138768208537
996,996,10,8,5,5,rogerstanimoto,eom,3,0.022489138768208537
1541,1541,10,8,8,5,sokalsneath,eom,3,0.022489138768208537
1244,1244,10,8,8,5,sokalsneath,eom,3,0.022489138768208537
1546,1546,10,8,8,5,sokalsneath,eom,3,0.022489138768208537
715,715,10,8,15,5,sokalsneath,leaf,3,0.022489138768208537
956,956,10,8,5,5,sokalsneath,eom,3,0.022489138768208537
1811,1811,10,8,15,5,sokalsneath,eom,3,0.022489138768208537
1182,1182,10,8,5,5,rogerstanimoto,leaf,3,0.022489138768208537
667,667,10,8,15,5,sokalsneath,eom,3,0.022489138768208537
1802,1802,10,8,5,5,rogerstanimoto,eom,3,0.022489138768208537
1683,1683,10,8,10,5,rogerstanimoto,leaf,3,0.022489138768208537
665,665,10,8,8,5,rogerstanimoto,leaf,3,0.022489138768208537
146,146,10,8,10,5,rogerstanimoto,leaf,3,0.022489138768208537
1584,1584,10,8,15,5,rogerstanimoto,leaf,3,0.022489138768208537
1779,1779,10,8,10,5,rogerstanimoto,leaf,3,0.022489138768208537
1792,1792,10,8,5,5,rogerstanimoto,eom,3,0.022489138768208537
660,660,10,8,5,5,sokalsneath,leaf,3,0.022489138768208537
1623,1623,10,8,15,5,rogerstanimoto,leaf,3,0.022489138768208537
772,772,10,8,8,5,sokalsneath,eom,3,0.022489138768208537
151,151,10,8,15,5,rogerstanimoto,eom,3,0.022489138768208537
1436,1436,10,8,8,5,sokalsneath,leaf,3,0.022489138768208537
334,334,10,8,15,5,sokalsneath,leaf,3,0.022489138768208537
460,460,10,8,8,5,rogerstanimoto,eom,3,0.022489138768208537
329,329,10,8,8,5,rogerstanimoto,eom,3,0.022489138768208537
323,323,10,8,15,5,rogerstanimoto,leaf,3,0.022489138768208537
1385,1385,10,8,8,5,rogerstanimoto,leaf,3,0.022489138768208537
372,372,10,8,8,5,rogerstanimoto,eom,3,0.022489138768208537
1403,1403,10,8,5,5,rogerstanimoto,leaf,3,0.022489138768208537
93,93,10,8,15,5,rogerstanimoto,leaf,3,0.022489138768208537
1675,1675,10,8,5,5,sokalsneath,leaf,3,0.022489138768208537
1442,1442,10,8,10,5,sokalsneath,eom,3,0.022489138768208537
937,937,10,8,5,5,sokalsneath,eom,3,0.022489138768208537
310,310,10,8,8,5,rogerstanimoto,eom,3,0.022489138768208537
1866,1866,10,8,8,5,rogerstanimoto,eom,3,0.022489138768208537
22,22,10,8,8,5,rogerstanimoto,leaf,3,0.022489138768208537
278,278,10,8,15,5,sokalsneath,eom,3,0.022489138768208537
392,392,10,8,15,5,rogerstanimoto,eom,3,0.022489138768208537
71,71,20,12,15,1,sokalsneath,leaf,3,0.04778941988244314
110,110,20,12,10,1,rogerstanimoto,eom,3,0.04778941988244314
891,891,20,12,15,1,sokalsneath,leaf,3,0.04778941988244314
942,942,20,12,10,1,rogerstanimoto,eom,3,0.04778941988244314
708,708,20,12,8,1,sokalsneath,eom,3,0.04778941988244314
73,73,20,12,5,1,sokalsneath,eom,3,0.04778941988244314
1002,1002,20,12,8,1,sokalsneath,eom,3,0.04778941988244314
906,906,20,12,8,1,rogerstanimoto,leaf,3,0.04778941988244314
117,117,20,12,8,1,sokalsneath,eom,3,0.04778941988244314
1749,1749,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
921,921,20,12,5,1,sokalsneath,eom,3,0.04778941988244314
998,998,20,12,5,1,sokalsneath,leaf,3,0.04778941988244314
1649,1649,20,12,10,1,sokalsneath,leaf,3,0.04778941988244314
789,789,20,12,10,1,sokalsneath,leaf,3,0.04778941988244314
1781,1781,20,12,10,1,sokalsneath,eom,3,0.04778941988244314
88,88,20,12,8,1,sokalsneath,eom,3,0.04778941988244314
1762,1762,20,12,15,1,rogerstanimoto,eom,3,0.04778941988244314
254,254,20,12,15,1,rogerstanimoto,leaf,3,0.04778941988244314
1951,1951,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
506,506,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
23,23,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
431,431,20,12,15,1,sokalsneath,eom,3,0.04778941988244314
193,193,20,12,5,1,sokalsneath,leaf,3,0.04778941988244314
389,389,20,12,5,1,sokalsneath,eom,3,0.04778941988244314
16,16,20,12,10,1,sokalsneath,leaf,3,0.04778941988244314
1275,1275,20,12,5,1,rogerstanimoto,eom,3,0.04778941988244314
1830,1830,20,12,10,1,sokalsneath,leaf,3,0.04778941988244314
1237,1237,20,12,15,1,sokalsneath,eom,3,0.04778941988244314
1507,1507,20,12,15,1,rogerstanimoto,leaf,3,0.04778941988244314
559,559,20,12,5,1,rogerstanimoto,eom,3,0.04778941988244314
1821,1821,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
1896,1896,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
1207,1207,20,12,5,1,rogerstanimoto,eom,3,0.04778941988244314
1185,1185,20,12,5,1,rogerstanimoto,eom,3,0.04778941988244314
1175,1175,20,12,10,1,sokalsneath,leaf,3,0.04778941988244314
1161,1161,20,12,15,1,rogerstanimoto,eom,3,0.04778941988244314
161,161,20,12,10,1,rogerstanimoto,eom,3,0.04778941988244314
639,639,20,12,8,1,rogerstanimoto,leaf,3,0.04778941988244314
1813,1813,20,12,5,1,rogerstanimoto,leaf,3,0.04778941988244314
1904,1904,10,5,5,5,sokalsneath,eom,3,0.0674674163046256
1893,1893,10,5,5,5,sokalsneath,leaf,3,0.0674674163046256
112,112,10,5,5,5,sokalsneath,eom,3,0.0674674163046256
1889,1889,10,5,5,5,rogerstanimoto,leaf,3,0.0674674163046256
308,308,10,5,5,5,sokalsneath,eom,3,0.0674674163046256
859,859,10,5,5,5,sokalsneath,leaf,3,0.0674674163046256
830,830,10,5,8,5,rogerstanimoto,eom,3,0.0674674163046256
1686,1686,10,5,15,5,sokalsneath,eom,3,0.0674674163046256
396,396,10,5,5,5,sokalsneath,leaf,3,0.0674674163046256
154,154,10,5,15,5,sokalsneath,eom,3,0.0674674163046256
197,197,10,5,15,5,sokalsneath,leaf,3,0.0674674163046256
492,492,10,5,10,5,rogerstanimoto,eom,3,0.0674674163046256
651,651,10,5,10,5,sokalsneath,eom,3,0.0674674163046256
761,761,10,5,8,5,rogerstanimoto,eom,3,0.0674674163046256
732,732,10,5,10,5,rogerstanimoto,eom,3,0.0674674163046256
515,515,10,5,10,5,rogerstanimoto,leaf,3,0.0674674163046256
552,552,10,5,10,5,sokalsneath,leaf,3,0.0674674163046256
606,606,10,5,8,5,rogerstanimoto,eom,3,0.0674674163046256
1801,1801,10,5,15,5,sokalsneath,leaf,3,0.0674674163046256
157,157,10,5,10,5,rogerstanimoto,leaf,3,0.0674674163046256
657,657,10,5,10,5,sokalsneath,eom,3,0.0674674163046256
822,822,10,5,15,5,rogerstanimoto,eom,3,0.0674674163046256
873,873,10,5,15,5,sokalsneath,eom,3,0.0674674163046256
1999,1999,10,5,8,5,sokalsneath,leaf,3,0.0674674163046256
1509,1509,10,5,5,5,rogerstanimoto,eom,3,0.0674674163046256
1336,1336,10,5,15,5,rogerstanimoto,leaf,3,0.0674674163046256
1993,1993,10,5,5,5,rogerstanimoto,leaf,3,0.0674674163046256
1045,1045,10,5,10,5,rogerstanimoto,eom,3,0.0674674163046256
84,84,10,5,10,5,sokalsneath,leaf,3,0.0674674163046256
1366,1366,10,5,5,5,sokalsneath,leaf,3,0.0674674163046256
1110,1110,10,5,5,5,sokalsneath,eom,3,0.0674674163046256
914,914,10,5,10,5,sokalsneath,eom,3,0.0674674163046256
938,938,10,5,5,5,rogerstanimoto,eom,3,0.0674674163046256
1977,1977,10,5,5,5,sokalsneath,leaf,3,0.0674674163046256
1213,1213,10,5,8,5,sokalsneath,eom,3,0.0674674163046256
908,908,10,5,5,5,rogerstanimoto,eom,3,0.0674674163046256
46,46,10,5,15,5,sokalsneath,eom,3,0.0674674163046256
537,537,10,5,8,1,rogerstanimoto,leaf,3,0.06797853309481217
42,42,10,5,10,1,sokalsneath,leaf,3,0.06797853309481217
424,424,10,5,15,1,sokalsneath,leaf,3,0.06797853309481217
44,44,10,5,5,1,sokalsneath,leaf,3,0.06797853309481217
878,878,10,5,15,1,rogerstanimoto,leaf,3,0.06797853309481217
1073,1073,10,5,15,1,sokalsneath,leaf,3,0.06797853309481217
474,474,10,5,10,1,rogerstanimoto,leaf,3,0.06797853309481217
1075,1075,10,5,15,1,rogerstanimoto,eom,3,0.06797853309481217
493,493,10,5,8,1,sokalsneath,eom,3,0.06797853309481217
194,194,10,5,8,1,rogerstanimoto,eom,3,0.06797853309481217
652,652,10,5,10,1,rogerstanimoto,eom,3,0.06797853309481217
205,205,10,5,15,1,rogerstanimoto,eom,3,0.06797853309481217
480,480,10,5,8,1,rogerstanimoto,eom,3,0.06797853309481217
1791,1791,10,5,8,1,sokalsneath,eom,3,0.06797853309481217
485,485,10,5,5,1,rogerstanimoto,eom,3,0.06797853309481217
1191,1191,10,5,8,1,sokalsneath,eom,3,0.06797853309481217
1799,1799,10,5,8,1,sokalsneath,eom,3,0.06797853309481217
1259,1259,10,5,5,1,sokalsneath,leaf,3,0.06797853309481217
1094,1094,10,5,5,1,rogerstanimoto,leaf,3,0.06797853309481217
102,102,10,5,8,1,sokalsneath,leaf,3,0.06797853309481217
273,273,10,5,8,1,rogerstanimoto,eom,3,0.06797853309481217
1489,1489,10,5,15,1,sokalsneath,eom,3,0.06797853309481217
939,939,10,5,15,1,sokalsneath,leaf,3,0.06797853309481217
1730,1730,10,5,10,1,rogerstanimoto,leaf,3,0.06797853309481217
