,run_id,n_neighbors,n_components,min_cluster_size,min_samples,metric,cluster_selection_method,label_count,cost
732,732,20,12,15,5,manhattan,eom,2,0.0
505,505,20,12,15,5,manhattan,eom,2,0.0
104,104,20,12,15,5,manhattan,eom,2,0.0
1219,1219,20,12,15,5,manhattan,eom,2,0.0
662,662,20,12,15,5,manhattan,eom,2,0.0
182,182,20,12,8,5,manhattan,eom,2,0.0
712,712,20,5,15,3,euclidean,eom,4,0.004245754245754246
933,933,20,5,15,3,euclidean,eom,4,0.004245754245754246
1278,1278,20,5,15,3,manhattan,eom,4,0.004495504495504496
697,697,20,5,15,3,manhattan,eom,4,0.004495504495504496
254,254,20,5,15,5,euclidean,eom,4,0.004995004995004995
615,615,20,5,10,5,euclidean,eom,4,0.004995004995004995
974,974,20,5,10,5,euclidean,eom,4,0.004995004995004995
418,418,20,5,15,5,manhattan,eom,4,0.005494505494505495
731,731,20,5,10,5,manhattan,eom,4,0.005494505494505495
925,925,20,5,10,5,manhattan,eom,4,0.005494505494505495
1416,1416,20,5,10,5,manhattan,eom,4,0.005494505494505495
495,495,20,5,10,5,manhattan,eom,4,0.005494505494505495
1027,1027,15,8,5,1,sokalsneath,eom,3,0.08341658341658342
384,384,15,8,8,1,rogerstanimoto,leaf,3,0.08341658341658342
252,252,15,8,15,1,sokalsneath,leaf,3,0.08341658341658342
1147,1147,15,8,10,1,sokalsneath,eom,3,0.08341658341658342
328,328,15,8,8,1,sokalsneath,eom,3,0.08341658341658342
1481,1481,15,8,15,1,sokalsneath,leaf,3,0.08341658341658342
1366,1366,15,8,15,1,rogerstanimoto,leaf,3,0.08341658341658342
967,967,15,8,8,1,sokalsneath,eom,3,0.08341658341658342
989,989,15,8,15,1,sokalsneath,leaf,3,0.08341658341658342
560,560,15,8,8,1,sokalsneath,leaf,3,0.08341658341658342
50,50,15,8,10,1,rogerstanimoto,leaf,3,0.08341658341658342
1377,1377,15,8,15,1,sokalsneath,leaf,3,0.08341658341658342
1123,1123,15,8,5,1,sokalsneath,leaf,3,0.08341658341658342
371,371,15,8,5,1,sokalsneath,leaf,3,0.08341658341658342
888,888,15,8,5,1,rogerstanimoto,leaf,3,0.08341658341658342
772,772,15,8,10,1,rogerstanimoto,leaf,3,0.08341658341658342
1199,1199,15,8,15,1,sokalsneath,eom,3,0.08341658341658342
1442,1442,15,8,15,1,rogerstanimoto,eom,3,0.08341658341658342
402,402,15,8,15,1,rogerstanimoto,eom,3,0.08341658341658342
795,795,15,8,8,1,rogerstanimoto,eom,3,0.08341658341658342
834,834,15,8,10,1,sokalsneath,eom,3,0.08341658341658342
404,404,15,8,8,1,sokalsneath,eom,3,0.08341658341658342
1169,1169,15,8,8,1,rogerstanimoto,eom,3,0.08341658341658342
1452,1452,20,8,10,1,sokalsneath,leaf,3,0.08716283716283717
892,892,20,8,8,1,rogerstanimoto,leaf,3,0.08716283716283717
658,658,20,8,15,1,sokalsneath,eom,3,0.08716283716283717
327,327,20,8,5,1,rogerstanimoto,eom,3,0.08716283716283717
1311,1311,20,8,10,1,sokalsneath,eom,3,0.08716283716283717
794,794,20,8,8,1,sokalsneath,leaf,3,0.08716283716283717
1428,1428,20,8,5,1,sokalsneath,leaf,3,0.08716283716283717
127,127,20,8,5,1,rogerstanimoto,eom,3,0.08716283716283717
982,982,20,8,10,1,sokalsneath,eom,3,0.08716283716283717
596,596,20,8,8,1,rogerstanimoto,leaf,3,0.08716283716283717
817,817,20,8,8,1,rogerstanimoto,leaf,3,0.08716283716283717
286,286,20,8,5,1,rogerstanimoto,eom,3,0.08716283716283717
199,199,20,8,5,1,sokalsneath,leaf,3,0.08716283716283717
1094,1094,20,8,10,1,rogerstanimoto,leaf,3,0.08716283716283717
12,12,20,8,10,1,sokalsneath,leaf,3,0.08716283716283717
58,58,20,8,5,1,rogerstanimoto,leaf,3,0.08716283716283717
39,39,20,8,8,1,sokalsneath,eom,3,0.08716283716283717
446,446,20,8,5,1,sokalsneath,leaf,3,0.08716283716283717
723,723,20,8,8,1,rogerstanimoto,leaf,3,0.08716283716283717
709,709,20,8,15,1,rogerstanimoto,eom,3,0.08716283716283717
1401,1401,20,8,15,1,rogerstanimoto,eom,3,0.08716283716283717
1317,1317,20,8,15,1,rogerstanimoto,leaf,3,0.08716283716283717
1325,1325,20,8,8,1,rogerstanimoto,eom,3,0.08716283716283717
584,584,20,8,15,1,sokalsneath,eom,3,0.08716283716283717
1117,1117,20,8,15,1,rogerstanimoto,leaf,3,0.08716283716283717
752,752,20,8,10,1,sokalsneath,leaf,3,0.08716283716283717
332,332,20,8,10,1,rogerstanimoto,leaf,3,0.08716283716283717
683,683,20,8,5,1,sokalsneath,eom,3,0.08716283716283717
1274,1274,20,8,10,1,sokalsneath,eom,3,0.08716283716283717
1251,1251,20,12,5,3,rogerstanimoto,leaf,3,0.10939060939060939
289,289,20,12,8,3,sokalsneath,leaf,3,0.10939060939060939
288,288,20,12,10,3,rogerstanimoto,leaf,3,0.10939060939060939
1307,1307,20,12,15,3,rogerstanimoto,leaf,3,0.10939060939060939
1293,1293,20,12,15,3,sokalsneath,leaf,3,0.10939060939060939
849,849,20,12,5,3,sokalsneath,eom,3,0.10939060939060939
233,233,20,12,15,3,sokalsneath,leaf,3,0.10939060939060939
855,855,20,12,5,3,rogerstanimoto,eom,3,0.10939060939060939
597,597,20,12,8,3,rogerstanimoto,eom,3,0.10939060939060939
825,825,20,12,8,3,sokalsneath,eom,3,0.10939060939060939
1342,1342,20,12,10,3,sokalsneath,eom,3,0.10939060939060939
133,133,20,12,5,3,rogerstanimoto,leaf,3,0.10939060939060939
169,169,20,12,10,3,sokalsneath,eom,3,0.10939060939060939
120,120,20,12,10,3,rogerstanimoto,eom,3,0.10939060939060939
123,123,20,12,10,3,rogerstanimoto,eom,3,0.10939060939060939
240,240,20,12,10,3,rogerstanimoto,leaf,3,0.10939060939060939
255,255,20,12,10,3,sokalsneath,eom,3,0.10939060939060939
805,805,20,12,10,3,sokalsneath,leaf,3,0.10939060939060939
515,515,20,12,8,3,sokalsneath,leaf,3,0.10939060939060939
1225,1225,20,12,10,3,rogerstanimoto,eom,3,0.10939060939060939
1047,1047,20,12,8,3,rogerstanimoto,eom,3,0.10939060939060939
1140,1140,20,12,5,3,rogerstanimoto,eom,3,0.10939060939060939
1362,1362,20,12,5,3,rogerstanimoto,leaf,3,0.10939060939060939
378,378,20,12,5,3,sokalsneath,leaf,3,0.10939060939060939
38,38,20,12,15,3,sokalsneath,leaf,3,0.10939060939060939
