topic_id,definition
0,0 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
1,1 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
2,2 - vot l una unic futur vuol no ver avant elezion
3,3 - in forz esser senz che cred #cred social miglior Italia
4,4 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
5,5 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
6,6 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
7,7 - poch Pd sap candidatur Letta preoccup minacc Roma mort stat
8,8 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
9,9 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
10,10 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
11,11 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
12,12 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
13,13 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
14,14 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
15,15 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
16,16 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
17,17 - ora ved ancor poss person volt sicurezz ferm vol quand
18,18 - graz quest ben poi aument viv sub lo stat prim
19,19 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
20,20 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
21,21 - programm Draghi pd Meloni Salvini @piu_europ far punt colleg bisogn
22,22 - oggi italian settembr 25 grand vi qui ore può torn
23,23 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
24,24 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
25,25 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
26,26 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
27,27 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
28,28 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
29,29 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
30,30 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
31,31 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
32,32 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
33,33 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
34,34 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
35,35 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
36,36 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
37,37 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
38,38 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
39,39 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
40,40 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
41,41 - ci post Milano manc io cost anno second via stud
42,42 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
43,43 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
44,44 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
45,45 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
46,46 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
47,47 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
48,48 - Letta Pd minacc stat Roma grav candidatur preoccup immigr giovan
49,49 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
50,50 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
51,51 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
52,52 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
53,53 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
54,54 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
55,55 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
56,56 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
57,57 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
58,58 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
59,59 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
60,60 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
61,61 - lavor cittadin #25settembrevotoleg aver dev le trov va prim final
62,62 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
63,63 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
64,64 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
65,65 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
66,66 - aument gest 1 #cred 😊 #domenicavotoleg 💪 23 nonost entusiasm
